ElTorque,ShTorque,Bicep,Tricep,AntDel,MedDel,PosDel,Pec,LowerTrap,MidTrap,Task,TrialNr,Su,Arm
8.403251087999974,8.864902328000051,0.173600640036446,0.23478016910118557,0.2223102214271778,0.19939839139747664,0.11462663784121811,0.19020467412104441,0.23788131329304352,0.2128539840574328,30%,10.0,c07,Right
8.465215421999988,12.379481609999878,0.2981512370686786,0.3040558486505935,0.30656862383903394,0.30340303652950884,0.1837053517475967,0.1479896950080348,0.2553389981753773,0.31171090945338387,50%,1.0,c07,Right
8.458922761999984,14.817123003999953,0.27007735738668326,0.29383586059982136,0.2889569453900322,0.270569879423872,0.1874307155787536,0.23675101389869613,0.287397641817745,0.3416052134643674,50%,2.0,c07,Right
8.615237943999972,12.548055230000042,0.25669167595028286,0.3082911413257542,0.27183288885240603,0.26901357718005336,0.1829941923370254,0.2604538137516965,0.32835617600632916,0.22944573547416375,50%,3.0,c07,Right
8.245592635999994,14.711589274000046,0.5205847387289908,0.4596774907511603,0.5851115206335157,0.49447772623706837,0.28847991895760533,0.2584904375555599,0.31965864968383667,0.32453780395904824,50%,4.0,c07,Right
8.240154132000029,14.577916779999981,0.5290812578725625,0.4691162609674772,0.6803339252601436,0.5436698922882148,0.3094679854358601,0.19155768241529395,0.2841327646500397,0.3360004054570901,50%,5.0,c07,Right
8.587757098,14.629217773999924,0.4746359233445333,0.42610742631148546,0.5781330859829678,0.4844650360983931,0.26866146216267667,0.24765843951725997,0.26003353594556067,0.3561080531996312,50%,6.0,c07,Right
9.037293323999988,13.725155570000009,0.31710845934813164,0.3254842751509576,0.35992211475560465,0.35740135058589656,0.21076805498782172,0.2197773509528822,0.28782669122373233,0.22909748763449278,50%,7.0,c07,Right
8.587966699999969,13.463935250000148,0.3467853759446745,0.3440349787576065,0.3987950106148068,0.38294222657503196,0.23961681082388467,0.21491191466605591,0.2557376097270624,0.3646574251544688,50%,8.0,c07,Right
8.438637396000027,14.22657576400014,0.4991817709657807,0.4166342348069709,0.564948569340613,0.5049977567170617,0.2830329224827815,0.20561785485905534,0.26270596156477044,0.3979702017892432,50%,9.0,c07,Right
8.574266286000036,14.389615704000065,0.42321735393230486,0.3990588132728305,0.4594548545833308,0.4329579341947023,0.25945302845900364,0.23979337370301607,0.2823932324246964,0.4284015045557191,50%,10.0,c07,Right
5.578644958000021,9.550572567999938,0.26551518122389123,0.02700518504056684,0.21602739340506041,0.02794647312880402,0.04904976236080485,0.09158294865522093,0.20088247249306362,0.10077788392791312,30%,1.0,c02,Right
7.241437710000022,8.69819183999992,0.3197219993127428,0.04460106690768555,0.20129276527655213,0.03313736713317534,0.048975385302533134,0.14782172329021662,0.3050792890180908,0.10168258985686042,30%,2.0,c02,Right
6.212053635999974,8.452790450000023,0.2172565410501692,0.04212831016594174,0.14349810540001334,0.05065750611849599,0.05002636844636594,0.10398779940871597,0.13152390477616796,0.10085155061009218,30%,3.0,c02,Right
6.279572730000002,8.332024970000031,0.2880090914941587,0.036070564270099546,0.18696351938279274,0.044769288311022455,0.04996131897781404,0.14096446727963646,0.17603023282656302,0.10341200370299256,30%,4.0,c02,Right
6.622529142000055,8.436744549999998,0.24369454961319417,0.02977277469434695,0.19158273442675272,0.025740275303995228,0.04982091236096335,0.13065447811347267,0.1571074861999794,0.10532665012661542,30%,5.0,c02,Right
6.350276078000029,8.067342009999972,0.23654080332455646,0.0321987541144842,0.20787042639898615,0.027366737589785032,0.04986663295176715,0.17470412140684913,0.10554908858284175,0.10509980699950891,30%,6.0,c02,Right
6.122924855999967,8.190567749999952,0.25867568679849084,0.035783412731135375,0.1771791570526547,0.025747438035108716,0.038677265410718815,0.15853731549436897,0.07965677452165927,0.07748864897087096,30%,7.0,c02,Right
6.293513878000014,8.315303190000005,0.24428846493403134,0.022987116621604152,0.2069228541559756,0.024640518212043366,0.05072245246122634,0.1443827052697604,0.11922553046337893,0.09726985417798975,30%,8.0,c02,Right
6.094983839999997,8.563072559999963,0.2578226673211645,0.025629724126487008,0.1975746306882208,0.028793657326447206,0.05037961378700276,0.15170809882733124,0.1081397195110441,0.10392042110082987,30%,9.0,c02,Right
